Method,Genre,Decade,Topic
BERT,Rap,90s,"[('got', 0.028999266361159605), ('baby', 0.026777665892227246), ('im', 0.026263319045879883), ('ta', 0.025373553035459857), ('ne', 0.022382986657418925), ('girl', 0.02222379348756419), ('yeah', 0.021436863396279263), ('know', 0.021146779317784716), ('na', 0.020247801069089702), ('ho', 0.018883514009115306)]"
BERT,Rap,90s,"[('wiggy', 0.032929007291973206), ('got', 0.027870640798426858), ('im', 0.026534699493339066), ('em', 0.02621890752078116), ('dont', 0.02521165998859995), ('cause', 0.01902769081646996), ('aint', 0.018544111604542595), ('back', 0.018479229700828895), ('verse', 0.018130631980413058), ('put', 0.01699352605372696)]"
BERT,Rap,90s,"[('pac', 0.05919963770140726), ('im', 0.030108228397207015), ('got', 0.02966260703983186), ('dont', 0.024399130677969148), ('die', 0.023683251473484622), ('time', 0.02093292605839725), ('see', 0.020872970190801657), ('ya', 0.02038497419932975), ('aint', 0.019443345022545053), ('life', 0.01943649076331299)]"
BERT,Rap,90s,"[('biggie', 0.05822608349088683), ('big', 0.045143736132021044), ('notorious', 0.04512677390473775), ('im', 0.0262209842009794), ('puff', 0.022817334773034575), ('know', 0.022576466079495025), ('na', 0.02127368106148577), ('cmon', 0.021070293394656932), ('got', 0.020704314514530302), ('going', 0.020421914413780898)]"
BERT,Rap,90s,"[('dogg', 0.057316689950832736), ('dre', 0.05696793705786553), ('snoop', 0.05030063325605488), ('dr', 0.03695915315876611), ('dont', 0.0326811664695594), ('im', 0.026244193722519345), ('doggy', 0.025719483233803294), ('smoke', 0.025707276914638855), ('aint', 0.02570689652827598), ('yeah', 0.023826018034446412)]"
BERT,Rap,90s,"[('wutang', 0.04094938831461521), ('wu', 0.02554771766750288), ('man', 0.024222000374976897), ('raekwon', 0.022092699315247235), ('ooh', 0.021119907777933978), ('ghostface', 0.019904225403153564), ('killah', 0.01937802700466648), ('word', 0.018543397326760826), ('son', 0.018447999982427573), ('im', 0.017368847125819122)]"
BERT,Rap,90s,"[('im', 0.032419134182847836), ('life', 0.03058522361603279), ('git', 0.030317034665592046), ('got', 0.028933760914302657), ('see', 0.02549473052016812), ('death', 0.0230129216867818), ('love', 0.021273653544939784), ('aint', 0.021272983011771173), ('dont', 0.02112611847976388), ('never', 0.0210713847206227)]"
BERT,Rap,90s,"[('uh', 0.06649068420008755), ('jayz', 0.059253381203399964), ('yall', 0.028764968232694938), ('sea', 0.027069578929638703), ('doo', 0.026253688530270436), ('know', 0.026124640506376324), ('jigga', 0.02520109815143404), ('uhhuh', 0.02420955412865992), ('wan', 0.023975812087476515), ('na', 0.02332831740258054)]"
BERT,Rap,90s,"[('shall', 0.021236206781601086), ('earth', 0.020049772005949842), ('life', 0.019541105641447416), ('verse', 0.01920896207420737), ('basic', 0.018918847634589564), ('instructions', 0.01867128866377638), ('last', 0.018235034287693477), ('mind', 0.01764037030821781), ('mf', 0.01744939937199179), ('doom', 0.01627285152036887)]"
BERT,Rap,90s,"[('eminem', 0.04383972665965702), ('im', 0.04232851381439928), ('dont', 0.025533228107564938), ('na', 0.024898354494804167), ('wan', 0.024858300241476436), ('cause', 0.024631610638492667), ('mcs', 0.02363560279997051), ('know', 0.023551071287930294), ('slim', 0.021332221479106968), ('ill', 0.02101137853544919)]"
