Method,Genre,Decade,Topic
BERT,Pop,90s,"[('love', 0.05601869070772753), ('always', 0.03845076324898099), ('chorus', 0.037306553179850176), ('dream', 0.036535326604104475), ('verse', 0.03381994485870806), ('let', 0.03211908607832921), ('feel', 0.03116862020810312), ('na', 0.028993337064132027), ('know', 0.0279178104300295), ('wan', 0.027341113160948567)]"
BERT,Pop,90s,"[('miss', 0.02557958621307712), ('bog', 0.025470776173267578), ('larry', 0.020657115715213982), ('rabbit', 0.020462474557589486), ('spoken', 0.019960763765642903), ('oie', 0.019678624785785383), ('newsies', 0.016992687515377858), ('hole', 0.016391347872665645), ('happy', 0.01562018885826032), ('rattlin', 0.014464589478179754)]"
BERT,Pop,90s,"[('dont', 0.04190033192039533), ('im', 0.037725110572095405), ('human', 0.028804206199298767), ('aint', 0.027765998524067352), ('say', 0.024164088781435205), ('got', 0.02414654377116755), ('never', 0.023281951845509647), ('na', 0.02231702732192393), ('make', 0.021552200851255306), ('see', 0.021195767974678013)]"
BERT,Pop,90s,"[('bright', 0.04597445606201348), ('day', 0.03296601245304737), ('sky', 0.03208485293340295), ('sun', 0.031951908675307915), ('one', 0.03129862380581594), ('verse', 0.02894000642988039), ('moon', 0.028596643479621917), ('see', 0.026666191221933137), ('ran', 0.024714865992497795), ('star', 0.022929756810043035)]"
BERT,Pop,90s,"[('baby', 0.09820780629927922), ('love', 0.05406440228750054), ('give', 0.03933301879472607), ('wants', 0.036429375466811686), ('know', 0.03588608449457622), ('na', 0.03087955155779783), ('want', 0.03022900142642641), ('ooh', 0.029753458803851607), ('dont', 0.029454370217415267), ('im', 0.028911602906878366)]"
BERT,Pop,90s,"[('lord', 0.1591727954780368), ('praise', 0.08028769629785522), ('holy', 0.0711643192295594), ('hallelujah', 0.05205747176150944), ('name', 0.049032829494250404), ('cross', 0.047794075480598094), ('god', 0.04774390447886019), ('glory', 0.04151251955057632), ('lift', 0.041505381338414124), ('worship', 0.041342932545199385)]"
BERT,Pop,90s,"[('dance', 0.0443119195636503), ('step', 0.032351489834804195), ('got', 0.030699717097159733), ('ah', 0.02461228989143883), ('shes', 0.024523693453479458), ('ring', 0.024105365491930437), ('everybody', 0.024035469954942393), ('ay', 0.02382520207836495), ('yeah', 0.023619481565465315), ('come', 0.023234751466807)]"
BERT,Pop,90s,"[('love', 0.07155316361825813), ('know', 0.05100661555757317), ('tumbling', 0.04604594853643981), ('letting', 0.045841300458580925), ('heart', 0.038672571902180035), ('ah', 0.0375443834018368), ('ever', 0.03667890931860535), ('perhaps', 0.03656627603949982), ('cant', 0.03467570215883355), ('eyes', 0.034169312631536074)]"
BERT,Pop,90s,"[('god', 0.12729806541953628), ('power', 0.07866813782906179), ('nothing', 0.06581221199560855), ('belongs', 0.05656901319052222), ('hard', 0.053441771058598146), ('changed', 0.05328066331099903), ('stand', 0.04997998573450567), ('matter', 0.042141971805750605), ('done', 0.03974397236352833), ('verse', 0.03606110999698648)]"
BERT,Pop,90s,"[('christmas', 0.29245352802208313), ('merry', 0.14294597811500698), ('tree', 0.06194383085166915), ('happy', 0.05973528080806271), ('year', 0.05948263239785092), ('santa', 0.056705354846130394), ('bring', 0.05227782937613844), ('good', 0.041678696026547994), ('tidings', 0.04150002075839311), ('wish', 0.0353591020646867)]"
BERT,Pop,90s,"[('jesus', 0.26627472340578373), ('born', 0.10676360425359879), ('today', 0.10394073769085735), ('king', 0.07010269005109188), ('answer', 0.05974449799031954), ('angels', 0.058876885772921835), ('comfort', 0.05207466381505996), ('christ', 0.04940658074566772), ('joy', 0.049209257223060354), ('sing', 0.047261979768517974)]"
BERT,Pop,90s,"[('cant', 0.10568482860078685), ('live', 0.05082576747187138), ('give', 0.0405258226556778), ('living', 0.03742017821744237), ('hard', 0.03644753376788258), ('heres', 0.036402851772849396), ('day', 0.03607508140208066), ('go', 0.03368660894115678), ('goes', 0.03245616111784204), ('home', 0.03243738272172776)]"
BERT,Pop,90s,"[('da', 0.11886632414080602), ('despair', 0.06705372869563789), ('verse', 0.05846032685094408), ('chorus', 0.05814083382325193), ('mourning', 0.0576111649982222), ('ashes', 0.0576111649982222), ('gladness', 0.056269179088538644), ('peace', 0.053065610833731416), ('gives', 0.051224868098130434), ('reflection', 0.048093079399514946)]"
BERT,Pop,90s,"[('brian', 0.10288882886158579), ('aj', 0.08704999342656834), ('heart', 0.07428909025259249), ('nick', 0.062189947239012736), ('justin', 0.05695193683757647), ('never', 0.04826927577162516), ('jc', 0.04751071997996411), ('give', 0.0450439951569202), ('without', 0.04468054625353494), ('love', 0.044328245622696626)]"
BERT,Pop,90s,"[('roger', 0.11105729250756063), ('mark', 0.10720172651409453), ('mimi', 0.09296754574345369), ('benny', 0.07629941970299395), ('maureen', 0.06557383142716348), ('joanne', 0.06092198920305139), ('boulevard', 0.0608834973084699), ('year', 0.04565131614267231), ('angel', 0.040490550955049436), ('dentist', 0.03830034059109135)]"
BERT,Pop,90s,"[('jones', 0.11298869386447144), ('baby', 0.09808397281732417), ('sexy', 0.08676626131375863), ('doctor', 0.08108945167218713), ('sex', 0.078841655275864), ('bomb', 0.0726917066452403), ('yipi', 0.06953329277282193), ('fly', 0.06930711884755329), ('im', 0.0553395530720099), ('turn', 0.0541774444489801)]"
BERT,Pop,90s,"[('ho', 0.10680228248274616), ('santa', 0.05951338691824696), ('christmas', 0.05684188655827838), ('yer', 0.047786155086721134), ('collins', 0.04738185668912676), ('angel', 0.04589979446785111), ('claus', 0.0448632432686558), ('fing', 0.04394798043792576), ('junkies', 0.04394798043792576), ('man', 0.042258872727449215)]"
BERT,Pop,00s,"[('bop', 0.30042295623940124), ('ryan', 0.2626679051849442), ('late', 0.22971433281544362), ('apologize', 0.15021147811970062), ('tedder', 0.13832153931528388), ('ross', 0.12670924578188966), ('top', 0.11389724327590658), ('urie', 0.09120160666304025), ('brendon', 0.09120160666304025), ('sharpay', 0.08659679980093819)]"
BERT,Pop,00s,"[('im', 0.04652636192193489), ('love', 0.040044988273110406), ('dont', 0.03888033114558115), ('know', 0.03665876222436804), ('chorus', 0.034781434880146046), ('verse', 0.02997038664930511), ('got', 0.029650312765875354), ('youre', 0.028573639055405012), ('na', 0.028019802340165403), ('yeah', 0.026880945142726674)]"
BERT,Pop,00s,"[('troy', 0.13381035495905946), ('ryan', 0.1081626373757506), ('gabriella', 0.10238423381631391), ('sharpay', 0.09752262247759233), ('yeah', 0.08333695080919389), ('spoken', 0.07310596697720483), ('chad', 0.0683990570253792), ('company', 0.06806800956480252), ('na', 0.06627925377126058), ('want', 0.06552744634331828)]"
BERT,Pop,00s,"[('justin', 0.14943721428105514), ('timberlake', 0.11842702782427272), ('around', 0.07886095276018136), ('gone', 0.06647862571415585), ('yeah', 0.06641988254916914), ('dont', 0.05897639801372424), ('bye', 0.056901421826854065), ('na', 0.05591705194577593), ('goes', 0.052506885624419), ('cry', 0.051865125469055084)]"
BERT,Pop,10s,"[('im', 0.06423423309296324), ('dont', 0.04811700319023171), ('know', 0.04631859082055026), ('love', 0.044856137450096714), ('yeah', 0.04227060386169297), ('chorus', 0.0421862927718243), ('verse', 0.035842130510482254), ('na', 0.033305250370367155), ('got', 0.033211027932064235), ('youre', 0.032638337167686125)]"
BERT,Pop,10s,"[('justin', 0.18997598584534578), ('bieber', 0.1514815617369384), ('love', 0.10728392012075706), ('let', 0.10000072065136346), ('baby', 0.09048878906285375), ('dont', 0.09041109822548182), ('show', 0.07287868577468637), ('need', 0.06847190638089248), ('things', 0.06158680178413708), ('go', 0.060699524203715244)]"
BERT,Pop,10s,"[('harry', 0.17212356556053518), ('ever', 0.09389583189716626), ('nobody', 0.0879962583240417), ('infinity', 0.0843185832805979), ('liam', 0.07626801390624105), ('niall', 0.06837293569820142), ('story', 0.06812835739769062), ('know', 0.06423774665386614), ('thing', 0.06352666012069119), ('dont', 0.059921635231090745)]"
BERT,Pop,20s,"[('luke', 0.2535884984660053), ('lonely', 0.10627792964821062), ('heart', 0.08474591148360762), ('love', 0.07959124254660803), ('red', 0.06388685313469454), ('way', 0.05824862029123398), ('made', 0.05762859290846053), ('leave', 0.05603728396594688), ('paid', 0.05417910861115468), ('ill', 0.05253112848195103)]"
BERT,Pop,20s,"[('im', 0.05398537788469605), ('dont', 0.04033991165656538), ('know', 0.039261534796755954), ('yeah', 0.03858937400573603), ('chorus', 0.03680414091190649), ('verse', 0.03293231192214597), ('love', 0.03267931089223703), ('youre', 0.028931011531603355), ('got', 0.027121162889272542), ('na', 0.027094013858453916)]"
BERT,Pop,20s,"[('justin', 0.11519659353555135), ('bieber', 0.10472753557003524), ('yeah', 0.06233008223395029), ('dont', 0.060395513251613485), ('go', 0.05742022944968363), ('need', 0.04857581172575878), ('ariana', 0.045577382450715145), ('grande', 0.045577382450715145), ('taylor', 0.04420426519613229), ('swift', 0.04400189438106545)]"
BERT,Pop,20s,"[('jade', 0.12442914154606283), ('perrie', 0.12228199498599766), ('leighanne', 0.11545168880283765), ('ima', 0.0893076256945135), ('love', 0.07921737331856682), ('jesy', 0.07554725915644023), ('us', 0.07025841445158794), ('ya', 0.06544322411055874), ('let', 0.060409937211196196), ('sweet', 0.05792412844056472)]"
BERT,Pop,20s,"[('fallin', 0.12478316106251977), ('seavey', 0.11815631822985555), ('daniel', 0.1140080568602494), ('love', 0.11078055714979701), ('zach', 0.07424722010281472), ('herron', 0.07424722010281472), ('corbyn', 0.0711705950830422), ('besson', 0.0711705950830422), ('avery', 0.06807045529724833), ('jack', 0.06369610696733903)]"
TIME,TIME,TIME,264.83812713623047
