Method,Genre,Decade,Topic
LDA,Pop,70s,"0.002*""love"" + 0.002*""alive"" + 0.002*""stayin"" + 0.002*""force"" + 0.002*""feel"""
LDA,Pop,70s,"0.002*""force"" + 0.002*""love"" + 0.002*""alive"" + 0.002*""rock"" + 0.002*""stayin"""
LDA,Pop,70s,"0.002*""force"" + 0.002*""love"" + 0.002*""night"" + 0.002*""alive"" + 0.002*""come"""
LDA,Pop,70s,"0.034*""force"" + 0.033*""love"" + 0.024*""alive"" + 0.023*""stayin"" + 0.022*""night"""
LDA,Pop,70s,"0.002*""love"" + 0.002*""stayin"" + 0.002*""force"" + 0.002*""night"" + 0.002*""alive"""
LDA,Pop,80s,"0.038*""to"" + 0.037*""go"" + 0.035*""annie"" + 0.024*""thriller"" + 0.021*""mamacoosah"""
LDA,Pop,80s,"0.003*""go"" + 0.003*""to"" + 0.003*""annie"" + 0.003*""mamasah"" + 0.003*""thriller"""
LDA,Pop,80s,"0.003*""go"" + 0.003*""to"" + 0.003*""annie"" + 0.003*""mamacoosah"" + 0.003*""mamasay"""
LDA,Pop,80s,"0.003*""to"" + 0.003*""annie"" + 0.003*""go"" + 0.003*""thriller"" + 0.003*""mamasay"""
LDA,Pop,80s,"0.003*""go"" + 0.003*""annie"" + 0.003*""to"" + 0.003*""thriller"" + 0.003*""mamasay"""
LDA,Pop,90s,"0.016*""wanna"" + 0.010*""baby"" + 0.006*""christmas"" + 0.006*""bayaya"" + 0.005*""care"""
LDA,Pop,90s,"0.003*""wanna"" + 0.003*""baby"" + 0.003*""care"" + 0.003*""rise"" + 0.003*""bayaya"""
LDA,Pop,90s,"0.003*""baby"" + 0.003*""wanna"" + 0.003*""christmas"" + 0.003*""care"" + 0.003*""bayaya"""
LDA,Pop,90s,"0.003*""wanna"" + 0.003*""baby"" + 0.003*""care"" + 0.003*""grey"" + 0.003*""bayaya"""
LDA,Pop,90s,"0.063*""wanna"" + 0.058*""baby"" + 0.022*""care"" + 0.019*""christmas"" + 0.016*""grey"""
LDA,Pop,00s,"0.003*""halo"" + 0.003*""mum"" + 0.003*""read"" + 0.003*""love"" + 0.003*""dream"""
LDA,Pop,00s,"0.003*""halo"" + 0.003*""love"" + 0.003*""mum"" + 0.003*""read"" + 0.003*""dream"""
LDA,Pop,00s,"0.056*""halo"" + 0.041*""love"" + 0.038*""mum"" + 0.031*""light"" + 0.028*""dream"""
LDA,Pop,00s,"0.003*""love"" + 0.003*""halo"" + 0.003*""mum"" + 0.003*""dream"" + 0.003*""bad"""
LDA,Pop,00s,"0.003*""halo"" + 0.003*""mum"" + 0.003*""ya"" + 0.003*""light"" + 0.003*""bad"""
LDA,Pop,10s,"0.002*""slay"" + 0.002*""love"" + 0.002*""baby"" + 0.002*""learn"" + 0.002*""dirt"""
LDA,Pop,10s,"0.003*""love"" + 0.003*""slay"" + 0.002*""baby"" + 0.002*""dirt"" + 0.002*""learn"""
LDA,Pop,10s,"0.002*""love"" + 0.002*""slay"" + 0.002*""baby"" + 0.002*""dirt"" + 0.002*""learn"""
LDA,Pop,10s,"0.047*""love"" + 0.036*""slay"" + 0.022*""baby"" + 0.019*""dirt"" + 0.018*""learn"""
LDA,Pop,10s,"0.002*""love"" + 0.002*""slay"" + 0.002*""dirt"" + 0.002*""baby"" + 0.002*""learn"""
LDA,Pop,20s,"0.002*""remember"" + 0.002*""light"" + 0.002*""drive"" + 0.002*""nana"" + 0.002*""dynnanana"""
LDA,Pop,20s,"0.016*""remember"" + 0.011*""night"" + 0.011*""kook"" + 0.011*""dynamite"" + 0.011*""jung"""
LDA,Pop,20s,"0.002*""remember"" + 0.002*""kook"" + 0.002*""huh"" + 0.002*""nana"" + 0.002*""dynamite"""
LDA,Pop,20s,"0.002*""jung"" + 0.002*""remember"" + 0.002*""light"" + 0.002*""time"" + 0.002*""night"""
LDA,Pop,20s,"0.002*""huh"" + 0.002*""remember"" + 0.002*""dynamite"" + 0.002*""jung"" + 0.002*""time"""
