Method,Genre,Decade,Topic
BERT,Rap,70s,"[('you', 0.14019416533563653), ('the', 0.12446157991205342), ('me', 0.08386471580853967), ('don', 0.08386471580853967), ('it', 0.08310056201682213), ('stop', 0.07766105937457145), ('on', 0.07607651300649827), ('and', 0.07286433855287182), ('with', 0.06709540910178341), ('keep', 0.05670853363514047)]"
BERT,Rap,80s,"[('you', 0.18348655166485447), ('ma', 0.13221277113338734), ('the', 0.12515725649326656), ('to', 0.09881929190269062), ('yeah', 0.08393305416245925), ('and', 0.06922237553772359), ('re', 0.06552856599704786), ('sah', 0.05866093967623668), ('are', 0.05471063270017986), ('is', 0.05310082861569671)]"
BERT,Rap,90s,"[('you', 0.15916290254753646), ('the', 0.10545202368441187), ('me', 0.09695806908583839), ('my', 0.08162819023708054), ('that', 0.08068672907852198), ('is', 0.07493319981689814), ('and', 0.07297334134958605), ('wanna', 0.07099119146213236), ('want', 0.06898589476659728), ('to', 0.06797428124441635)]"
BERT,Rap,00s,"[('oh', 0.1718688697863841), ('you', 0.12356987636784124), ('your', 0.0984826734788411), ('halo', 0.07783517696577372), ('it', 0.0769601005844647), ('can', 0.07519699947594059), ('the', 0.07430883545358513), ('and', 0.07071035843506095), ('want', 0.06516608600335398), ('love', 0.06136339381081257)]"
BERT,Rap,10s,"[('you', 0.16655046175033), ('my', 0.09522026070560904), ('the', 0.080937989879531), ('it', 0.07655890621207642), ('me', 0.07464899437379054), ('and', 0.07336415063750991), ('that', 0.07271817495959314), ('work', 0.07076568268239672), ('in', 0.06746110801304418), ('on', 0.062033060356583535)]"
BERT,Rap,20s,"[('you', 0.15902675373802602), ('it', 0.11270271819003753), ('the', 0.1057355222101956), ('and', 0.0839424832785064), ('na', 0.07791637751847585), ('to', 0.06955306986562598), ('me', 0.06883754233879397), ('up', 0.06667251929871991), ('was', 0.06594454838515716), ('that', 0.060755566537000705)]"
TIME,TIME,TIME,24.924679279327393
