Method,Genre,Decade,Topic
BERT,Rap,70s,"[('the', 0.13647592052803542), ('swear', 0.13582081373957372), ('and', 0.09723599914717357), ('to', 0.08175288020040669), ('you', 0.07832538660663033), ('of', 0.06484523798198134), ('revolution', 0.06105968628763764), ('when', 0.05913254960970024), ('are', 0.052189189141361024), ('that', 0.049109541682746984)]"
BERT,Rap,80s,"[('the', 0.17492143526736573), ('you', 0.10915382770475812), ('and', 0.10744833131941865), ('to', 0.09910171889885726), ('it', 0.0735183584627785), ('we', 0.056590434494517936), ('on', 0.0563386900404155), ('that', 0.0563386900404155), ('do', 0.05276892217787655), ('of', 0.05121195317352891)]"
BERT,Rap,90s,"[('the', 0.15189310185225144), ('swear', 0.11257746685078321), ('you', 0.10915817369483781), ('and', 0.09199757309521413), ('to', 0.08736054605767944), ('it', 0.07637789071802188), ('can', 0.059248686344292936), ('your', 0.054665876027910766), ('on', 0.05046998861759684), ('of', 0.049936768811679105)]"
BERT,Rap,00s,"[('the', 0.11690149847900935), ('swear', 0.11053967507645102), ('you', 0.0872428288225176), ('and', 0.08118048216423468), ('my', 0.07536679053879097), ('it', 0.07307940745374084), ('to', 0.07122767719968345), ('that', 0.06841207222658828), ('me', 0.057148655337219), ('up', 0.05510438157612811)]"
BERT,Rap,10s,"[('the', 0.1403882133283407), ('swear', 0.09732273901762367), ('cam', 0.08957329632129339), ('killa', 0.08647448895776932), ('you', 0.08468086298788365), ('and', 0.07305725396143718), ('to', 0.07209386809341568), ('it', 0.06719402488543023), ('that', 0.06619671538490043), ('my', 0.05903862576093897)]"
BERT,Rap,20s,"[('the', 0.12900621878021978), ('swear', 0.09528478929206785), ('it', 0.09318296686960091), ('you', 0.08891064910162307), ('and', 0.07606266989760188), ('to', 0.07137145333255926), ('that', 0.06776745611778456), ('me', 0.059678384805097594), ('my', 0.05645371542724206), ('your', 0.051819712263641175)]"
BERT,Rap,30s,"[('the', 0.15063593156604327), ('swear', 0.11085511612316226), ('you', 0.09694492690443453), ('and', 0.07969548917343953), ('to', 0.07642433342856149), ('in', 0.06319851661628166), ('it', 0.062175766345000646), ('my', 0.0521077430234502), ('your', 0.04934031123289405), ('of', 0.04821789179901594)]"
TIME,TIME,TIME,100.93153810501099
