Method,Genre,Decade,Topic
BERT,Rap,70s,"[('the', 0.1725453592360872), ('you', 0.11938628560335332), ('and', 0.11890003795216657), ('to', 0.0925012126489199), ('on', 0.07485761125141382), ('swear', 0.06550065033031009), ('up', 0.06388914638194942), ('it', 0.06258831911088562), ('of', 0.05962206457215894), ('we', 0.050360866482486236)]"
BERT,Rap,80s,"[('the', 0.1609243969499178), ('and', 0.09821229052783857), ('swear', 0.09616611662250389), ('you', 0.09409881423457768), ('to', 0.0906045292909662), ('it', 0.07052636753950654), ('in', 0.058281388329409316), ('that', 0.0504441039070189), ('me', 0.04864328038727831), ('my', 0.04589714356152363)]"
BERT,Rap,90s,"[('the', 0.1475733331894933), ('you', 0.10929646088417069), ('and', 0.09087533460834267), ('to', 0.08507273710797925), ('swear', 0.08396477902683476), ('it', 0.07717414798856283), ('in', 0.0559120981859936), ('my', 0.0559120981859936), ('up', 0.05147400159068481), ('me', 0.04920269037481765)]"
BERT,Rap,00s,"[('the', 0.11576598389428056), ('you', 0.11459362681175946), ('and', 0.08324430155430766), ('it', 0.08012948563821663), ('to', 0.07766971163738043), ('swear', 0.06558689712272016), ('me', 0.06367837935030969), ('in', 0.05580644485227258), ('my', 0.052540153140233734), ('that', 0.04877515202158491)]"
BERT,Rap,10s,"[('the', 0.12297216869340234), ('swear', 0.0848411390798553), ('you', 0.08323473191235693), ('to', 0.0795687161994741), ('my', 0.0795687161994741), ('and', 0.07791551909470998), ('yeah', 0.06897402364852612), ('it', 0.06454601027950893), ('up', 0.06364593635758733), ('me', 0.0631940168622572)]"
BERT,Rap,20s,"[('the', 0.10949347281406528), ('you', 0.09124035838718084), ('swear', 0.08531217485063738), ('me', 0.07109043908927852), ('in', 0.0632095913813601), ('on', 0.06007425487037749), ('it', 0.05816258593278395), ('to', 0.05687483084450223), ('yeah', 0.055576054126544816), ('and', 0.05294404349531602)]"
TIME,TIME,TIME,70.02064895629883
