Method,Genre,Decade,Topic
BERT,Rap,90s,"[('cant', 0.10313024536857286), ('give', 0.05324472105979162), ('live', 0.04973819641868395), ('life', 0.04410388956423006), ('day', 0.04084954621590178), ('living', 0.03989931558955214), ('forget', 0.03794888315673952), ('hard', 0.03402764837852192), ('heres', 0.03372348182630316), ('goes', 0.030206554290771195)]"
BERT,Rap,90s,"[('jesus', 0.23013845020510068), ('born', 0.11960793830127654), ('king', 0.0699039762005363), ('pumpum', 0.06755621487929957), ('pum', 0.06755621487929957), ('rum', 0.06704770014765797), ('today', 0.0662262784155825), ('angels', 0.06574645321219504), ('comfort', 0.05808476637671834), ('joy', 0.05524447121786107)]"
BERT,Rap,90s,"[('miss', 0.04998048888268466), ('newsies', 0.03318090981112374), ('spoken', 0.02995994295065798), ('mrs', 0.026852995955463036), ('clopin', 0.02419734881684997), ('girls', 0.023861440360074624), ('group', 0.02313766221389614), ('fife', 0.022419521893963536), ('mackay', 0.022419521893963536), ('school', 0.02030227198295414)]"
BERT,Rap,90s,"[('ba', 0.11053032092333512), ('sexy', 0.10735521970931101), ('baby', 0.0915495081508987), ('du', 0.08460408926957709), ('bop', 0.07293318808363798), ('dop', 0.06001178306000036), ('sex', 0.05258251571377095), ('erotic', 0.04777100445386049), ('bomb', 0.04672586033671202), ('fly', 0.04627122864587884)]"
BERT,Rap,90s,"[('brian', 0.10912681710044717), ('aj', 0.09226238880076905), ('heart', 0.0765549503430723), ('nick', 0.06598190096724738), ('justin', 0.06027891582587693), ('never', 0.052323434958671755), ('jc', 0.05026716757603491), ('give', 0.048625971010962714), ('without', 0.047743787949918515), ('youre', 0.04643295223674649)]"
BERT,Rap,00s,"[('im', 0.05106133217951322), ('love', 0.04365342633691379), ('dont', 0.042444625496702595), ('know', 0.03999111842967918), ('chorus', 0.037818566752854436), ('verse', 0.03243197011109298), ('got', 0.032086163314562176), ('youre', 0.0308463090093628), ('na', 0.030366050486306577), ('yeah', 0.02909084846678514)]"
BERT,Rap,00s,"[('troy', 0.13247778188710796), ('ryan', 0.12247455635331018), ('sharpay', 0.10141028141599993), ('gabriella', 0.09356798518744874), ('yeah', 0.08800859507518298), ('spoken', 0.07333205950983718), ('na', 0.06813601595474295), ('chad', 0.06734017063533888), ('company', 0.06729731170991132), ('want', 0.06695545576119641)]"
BERT,Rap,00s,"[('justin', 0.1644991331902897), ('timberlake', 0.13008630782115957), ('around', 0.08787740168830677), ('yeah', 0.0754994179310108), ('gone', 0.07361983544612873), ('dont', 0.0668860604213385), ('na', 0.06356739971212723), ('bye', 0.06275803657102291), ('love', 0.05863794994027169), ('goes', 0.05796925562784623)]"
BERT,Rap,10s,"[('im', 0.06423423309296324), ('dont', 0.04811700319023171), ('know', 0.04631859082055026), ('love', 0.044856137450096714), ('yeah', 0.04227060386169297), ('chorus', 0.0421862927718243), ('verse', 0.035842130510482254), ('na', 0.033305250370367155), ('got', 0.033211027932064235), ('youre', 0.032638337167686125)]"
BERT,Rap,10s,"[('justin', 0.18997598584534578), ('bieber', 0.1514815617369384), ('love', 0.10728392012075706), ('let', 0.10000072065136346), ('baby', 0.09048878906285375), ('dont', 0.09041109822548182), ('show', 0.07287868577468637), ('need', 0.06847190638089248), ('things', 0.06158680178413708), ('go', 0.060699524203715244)]"
BERT,Rap,10s,"[('harry', 0.17212356556053518), ('ever', 0.09389583189716626), ('nobody', 0.0879962583240417), ('infinity', 0.0843185832805979), ('liam', 0.07626801390624105), ('niall', 0.06837293569820142), ('story', 0.06812835739769062), ('know', 0.06423774665386614), ('thing', 0.06352666012069119), ('dont', 0.059921635231090745)]"
BERT,Rap,20s,"[('luke', 0.1257403328391222), ('reyes', 0.10443111328818214), ('madison', 0.10025368736274924), ('gillespie', 0.09157973930757947), ('charlie', 0.09095580759881215), ('tall', 0.05309838599379333), ('lonely', 0.052697272661245104), ('stand', 0.050434875823095776), ('heart', 0.04858649318963586), ('woah', 0.044730774125048736)]"
BERT,Rap,20s,"[('im', 0.05407317388804875), ('dont', 0.04042989241055654), ('know', 0.03935992387709864), ('yeah', 0.03881981698571676), ('chorus', 0.03676508399667369), ('verse', 0.03296294069485806), ('love', 0.03277581100495698), ('youre', 0.028815214373755074), ('na', 0.0271958831183351), ('got', 0.02697281789909783)]"
BERT,Rap,20s,"[('justin', 0.13737045293448882), ('bieber', 0.12488623625427477), ('dont', 0.06683017765840511), ('go', 0.06602742336117692), ('yeah', 0.06248798996625343), ('need', 0.0560574477603123), ('taylor', 0.052713016463936786), ('swift', 0.052471691875481195), ('stuck', 0.04021908552112451), ('cant', 0.03935558936329736)]"
BERT,Rap,20s,"[('jade', 0.12442914154606283), ('perrie', 0.12228199498599766), ('leighanne', 0.11545168880283765), ('ima', 0.0893076256945135), ('love', 0.07921737331856682), ('jesy', 0.07554725915644023), ('us', 0.07025841445158794), ('ya', 0.06544322411055874), ('let', 0.060409937211196196), ('sweet', 0.05792412844056472)]"
BERT,Rap,20s,"[('fallin', 0.12478316106251977), ('seavey', 0.11815631822985555), ('daniel', 0.1140080568602494), ('love', 0.11078055714979701), ('zach', 0.07424722010281472), ('herron', 0.07424722010281472), ('corbyn', 0.0711705950830422), ('besson', 0.0711705950830422), ('avery', 0.06807045529724833), ('jack', 0.06369610696733903)]"
TIME,TIME,TIME,268.2450866699219
